segment_id, longitude, latitude, h_li, atl06_quality_summary, track_id, beam, file_name
387725,-73.32234682572897,69.675130905372,757.7134399414062,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
387949,-73.3361270688617,69.71502900621684,295.688720703125,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388036,-73.341641545815,69.73051848591221,424.2620544433594,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388075,-73.34416169296202,69.73746004569601,624.3558959960938,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388280,-73.35733167211202,69.77395144953715,875.150390625,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388420,-73.36614062235192,69.79888068899868,768.7044677734375,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388424,-73.36638924719001,69.79959308967901,767.097900390625,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388428,-73.36663996511223,69.80030540071039,765.6533203125,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388432,-73.366891170575,69.80101769135617,764.1370239257812,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388436,-73.36714140357348,69.80173002185415,762.580322265625,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388440,-73.36739127482421,69.80244236839665,760.9144897460938,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388444,-73.36764163713246,69.8031546939951,759.0420532226562,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388448,-73.36789132963898,69.80386704881829,757.5638427734375,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388452,-73.36814091515501,69.80457941008811,757.1583251953125,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388460,-73.36864829918127,69.80600378359362,757.6983032226562,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388464,-73.36890187254122,69.80671597437284,758.2511596679688,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388472,-73.36940216062548,69.80814065017937,761.8517456054688,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388476,-73.36965209187007,69.80885299510429,762.6179809570312,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388506,-73.3715241582591,69.8141957108127,774.551025390625,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388518,-73.37227323785339,69.81633279133014,774.2505493164062,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388611,-73.37810521453757,69.83289411359615,799.5787353515625,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388615,-73.37835141362757,69.83360662892169,800.576904296875,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388627,-73.37910941056315,69.83574335375887,802.4603881835938,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388631,-73.37935542284971,69.83645587769401,804.0738525390625,1,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388635,-73.37960115546252,69.83716841328122,805.0927124023438,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388639,-73.37984893398296,69.8378808646393,806.0617065429688,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388643,-73.38009910811601,69.83859321224968,806.3627319335938,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388647,-73.38035206038876,69.83930544285859,806.3554077148438,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388651,-73.38060627253516,69.84001762052223,806.10107421875,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388655,-73.38085984578713,69.84072982588543,805.5518798828125,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388659,-73.38111257762253,69.84144206615007,804.7821044921875,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
388663,-73.38136522180989,69.8421543126119,803.8609008789062,0,339,gt3r,ATL06_20200717132403_03390803_006_01.h5
