segment_id, longitude, latitude, h_li, atl06_quality_summary, track_id, beam, file_name
609348,-73.7776427711703,70.52118830466239,545.8655395507812,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609352,-73.77790263808436,70.52047609977618,545.9046630859375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609356,-73.77817338565706,70.51976434939773,545.9180908203125,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609360,-73.7784453374818,70.51905265017146,545.8975219726562,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609364,-73.77870823096501,70.51834057175111,545.8809204101562,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609368,-73.77897245013118,70.51762855006562,545.8579711914062,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609372,-73.77924288714321,70.51691678869635,545.8771362304688,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609376,-73.77951094928929,70.51620492777559,545.8482055664062,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609380,-73.77977275116032,70.51549280544987,545.8922729492188,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609384,-73.78003081002312,70.51478052680221,545.8753051757812,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609388,-73.7802905432378,70.51406831859002,545.8610229492188,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609392,-73.78055583646841,70.51335634355522,545.8394165039062,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609396,-73.7808252335377,70.51264454016203,545.8809814453125,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609400,-73.78109441004605,70.51193272836129,545.8630981445312,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609404,-73.78135549509865,70.5112205775081,545.8474731445312,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609408,-73.78161458614622,70.51050834379366,545.8474731445312,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609412,-73.78188843289668,70.50979672818556,545.8547973632812,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609416,-73.78216633320001,70.50908528239104,545.8159790039062,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609420,-73.78242752708157,70.50837313761465,545.8164672851562,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609424,-73.7826810657104,70.50766067296304,545.8253784179688,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609428,-73.78294178023205,70.50694850910533,545.826171875,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609432,-73.78321013450442,70.50623666527913,545.7946166992188,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609436,-73.78348079518466,70.50552491801767,545.7939453125,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609440,-73.78374567516867,70.50481292903058,545.8255615234375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609444,-73.78400718135721,70.5041007996178,545.79541015625,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609448,-73.78427381150438,70.50338888460767,545.8074340820312,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609452,-73.78454000867613,70.50267695172458,545.771240234375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609456,-73.78479833487029,70.50196468967823,545.7531127929688,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609460,-73.78505689713239,70.50125243838589,545.7642822265625,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609464,-73.78532185859835,70.50054045424274,545.7584228515625,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609468,-73.78558962983702,70.49982858906026,545.7943725585938,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609472,-73.78585639710786,70.49911668147072,545.7439575195312,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609476,-73.78612024848894,70.49840465254503,545.7381591796875,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609480,-73.78638416433674,70.49769262694099,545.760009765625,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609484,-73.78665196963021,70.49698076365377,545.76025390625,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609488,-73.78691858627846,70.49626885133372,545.7448120117188,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609492,-73.78718068863729,70.49555675036318,545.74609375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609496,-73.78744502723285,70.4948447433443,545.7650146484375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609500,-73.78771332096251,70.49413290199665,545.7301635742188,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609504,-73.78798038940678,70.49342101012634,545.7640991210938,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609508,-73.78824227043482,70.492708900136,545.7386474609375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609512,-73.78849858956498,70.4919965593983,545.7435302734375,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609516,-73.78876067024179,70.4912844590952,545.6982421875,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609520,-73.78903544308255,70.49057289098599,545.7040405273438,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609524,-73.78930676895929,70.48986117830854,545.710205078125,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609528,-73.78956660780113,70.48914898518059,545.7172241210938,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609532,-73.78982683808134,70.48843680925131,545.7120971679688,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609536,-73.79009161479699,70.4877248237957,545.7111206054688,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609540,-73.79035609061405,70.48701282534573,545.6903076171875,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609544,-73.790622167509,70.48630089457365,545.7019653320312,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609548,-73.79089280824999,70.48558915543305,545.6893920898438,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609552,-73.79116153146087,70.48487733648365,545.7227783203125,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
609556,-73.79142445474972,70.48416527471299,545.6651611328125,0,789,gt3r,ATL06_20200517050512_07890705_006_01.h5
